Año,Lote,Tipo de Hidrocarburo,Producción,Inversion,Regalia,Canon,Reservas Probadas (P1),Reservas Probables (P2),Reservas Posibles (P3),Reservas Totales (3P),Recursos Contingentes (2C),Recursos Prospectivos (2U)
2022,V,,,0.21541614,0.94662932,0.67019823,,,,,,
2023,V,,,-0.12529805,0.5770800899999999,0.43388466,,,,,,
2024,V,,,0.67508897,0.63792442,0.5981433,,,,,,
2025,V,,,0.469686,0.45505437,0.33848076,,,,,,
2021,VI,,,0.0,0.0,0.0,,,,,,
2022,VI,,,0.0,0.0,0.0,,,,,,
2023,VI,,,0.0,2.16504106,2.25695428,,,,,,
2024,VI,,,0.0,15.07020038,10.68849062999999,,,,,,
2025,VI,,,0.0,5.52419467,2.93776869,,,,,,
2021,VII,,,0.0,0.0,0.0,,,,,,
2022,VII,,,0.0,0.0,0.0,,,,,,
2023,VII,,,0.11607422,1.16965069,0.87640653,,,,,,
2024,VII,,,8.89556436,6.67011416,5.2495163,,,,,,
2025,VII,,,1.08826435,2.2772599,1.69810575,,,,,,
2021,VII/VI,,,19.73383136,28.34289197,19.19061351,,,,,,
2022,VII/VI,,,0.3,41.90265022,23.11744083,,,,,,
2023,VII/VI,,,0.0,21.54606112,12.92211734,,,,,,
2024,VII/VI,,,0.0,0.18349761,0.1046287399999999,,,,,,
2025,VII/VI,,,0.0,0.0,0.0,,,,,,
2021,X,,,41.77977009,,59.11680128999988,,,,,,
2022,X,,,25.3013199,,75.2549777499999,,,,,,
2023,X,,,5.222851490000001,,57.20113009999999,,,,,,
2024,X,,,3.70098315,,45.68045144999998,,,,,,
2025,X,,,3.320438,,14.04275572,,,,,,
2021,XIII,,,7.582294779999999,,7.572974829999991,,,,,,
2022,XIII,,,16.52616211,,14.65264016999999,,,,,,
2023,XIII,,,20.67581442,,12.79017289,,,,,,
2024,XIII,,,15.41288702,,11.84638998,,,,,,
2025,XIII,,,1.96163495,,3.46295999,,,,,,
2021,XV,,,0.0,,0.1386899499999989,,,,,,
2022,XV,,,0.0,,0.18486606,,,,,,
2023,XV,,,0.0,,0.13772256,,,,,,
2024,XV,,,0.0,,0.1102122099999999,,,,,,
2025,XV,,,0.0,,0.02979445,,,,,,
2021,XX,,,0.02482075,,0.0544643299999999,,,,,,
2022,XX,,,0.0,,0.06657333999999991,,,,,,
2023,XX,,,0.0,,0.05617780999999999,,,,,,
2024,XX,,,0.0,,0.06602496,,,,,,
2025,XX,,,0.0,,0.01618949999999989,,,,,,
2021,XXI,,,0.22472734,,,,,,,,
2022,XXI,,,0.07238786999999999,,,,,,,,
2023,XXI,,,0.0,,,,,,,,
2024,XXI,,,0.0,,,,,,,,
2025,XXI,,,0.0,,,,,,,,
2021,XXIII,,,0.042,,,,,,,,
2022,XXIII,,,0.042,,,,,,,,
2023,XXIII,,,0.337411,,,,,,,,
2024,XXIII,,,1.684364,,,,,,,,
2025,XXIII,,,0.167436,,,,,,,,
2021,Z-1,,,0.77895892,,0.0,,,,,,
2022,Z-1,,,0.13849481,,0.0,,,,,,
2023,Z-1,,,0.74309972,,0.0,,,,,,
2024,Z-1,,,2.96606529,,2.6864742,,,,,,
2025,Z-1,,,0.003549,,1.57690681,,,,,,
2021,Z-38,,,0.264199,,,,,,,,
2022,Z-38,,,0.0,,,,,,,,
2023,Z-38,,,0.0,,,,,,,,
2024,Z-38,,,0.0,,,,,,,,
2025,Z-38,,,0.0,,,,,,,,
2021,Z-6,,,0.0,,0.0,,,,,,
2022,Z-6,,,0.0,,0.0,,,,,,
2023,Z-6,,,0.0,,0.0,,,,,,
2024,Z-6,,,0.0,,0.0,,,,,,
2025,Z-6,,,0.0,,0.0,,,,,,
2021,Z-61,,,0.093699,,,,,,,,
2022,Z-61,,,0.283186,,,,,,,,
2023,Z-61,,,0.170064,,,,,,,,
2024,Z-61,,,10.471867,,,,,,,,
2025,Z-61,,,0.391232,,,,,,,,
2021,Z-62,,,0.09367,,,,,,,,
2022,Z-62,,,0.283119,,,,,,,,
2023,Z-62,,,0.170015,,,,,,,,
2024,Z-62,,,15.079733,,,,,,,,
2025,Z-62,,,1.794033,,,,,,,,
2021,Z-63,,,0.09367,,,,,,,,
2022,Z-63,,,0.283119,,,,,,,,
2023,Z-63,,,0.170015,,,,,,,,
2024,Z-63,,,10.41015,,,,,,,,
2025,Z-63,,,0.391826,,,,,,,,
2021,Z-64,,,0.22043416,,,,,,,,
2022,Z-64,,,0.0,,,,,,,,
2023,Z-64,,,0.0,,,,,,,,
